"Artist_Name","Album_Title","Genre","Composer","Track_Name","Track_Price","InvoiceId","Invoice_Price","SR_ID","SR_firstname","SR_LastName","SR_title","SR_City","SR_state","SR_Country","CustomerId","Customer_FirstName","Customer_LastName","Customer_City","Customer_State","Customer_Country"
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Night Of The Long Knives,0.99,108,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,47,Lucas,Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Spellbound,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
AC/DC,Let There Be Rock,Rock,AC/DC,Go Down,0.99,319,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,13,Fernanda,Ramos,Brasília,DF,Brazil
AC/DC,Let There Be Rock,Rock,AC/DC,Dog Eat Dog,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
AC/DC,Let There Be Rock,Rock,AC/DC,Let There Be Rock,0.99,,,,,,,,,,,,,,,
AC/DC,Let There Be Rock,Rock,AC/DC,Bad Boy Boogie,0.99,,,,,,,,,,,,,,,
AC/DC,Let There Be Rock,Rock,AC/DC,Problem Child,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
AC/DC,Let There Be Rock,Rock,AC/DC,Overdose,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
AC/DC,Let There Be Rock,Rock,AC/DC,Overdose,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
AC/DC,Let There Be Rock,Rock,AC/DC,Hell Ain't A Bad Place To Be,0.99,319,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,13,Fernanda,Ramos,Brasília,DF,Brazil
AC/DC,Let There Be Rock,Rock,AC/DC,Whole Lotta Rosie,0.99,,,,,,,,,,,,,,,
Accept,Balls to the Wall,Rock,,Balls to the Wall,0.99,1,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,2,Leonie,Köhler,Stuttgart,,Germany
Accept,Balls to the Wall,Rock,,Balls to the Wall,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
Accept,Restless and Wild,Rock,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",Fast As a Shark,0.99,319,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,13,Fernanda,Ramos,Brasília,DF,Brazil
Accept,Restless and Wild,Rock,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Restless and Wild,0.99,1,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,2,Leonie,Köhler,Stuttgart,,Germany
Accept,Restless and Wild,Rock,Deaffy & R.A. Smith-Diesel,Princess of the Dawn,0.99,108,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,47,Lucas,Mancini,Rome,RM,Italy
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",Walk On Water,0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry",Love In An Elevator,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",Rag Doll,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",What It Takes,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",Dude (Looks Like A Lady),0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Tom Hamilton",Janie's Got A Gun,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Taylor Rhodes",Cryin',0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Richie Supa",Amazing,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Taylor Rhodes",Blind Man,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",Deuces Are Wild,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",Deuces Are Wild,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
Aerosmith,Big Ones,Rock,"Steven Tyler, Jim Vallance",The Other Side,0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Desmond Child",Crazy,0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Jim Vallance",Eat The Rich,0.99,,,,,,,,,,,,,,,
Aerosmith,Big Ones,Rock,"Steven Tyler, Desmond Child",Angel,0.99,3,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,8,Daan,Peeters,Brussels,,Belgium
Aerosmith,Big Ones,Rock,"Steven Tyler, Joe Perry, Mark Hudson",Livin' On The Edge,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,All I Really Want,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Oughta Know,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Perfect,0.99,,,,,,,,,,,,,,,
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Hand In My Pocket,0.99,,,,,,,,,,,,,,,
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Right Through You,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Forgiven,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Learn,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Head Over Feet,0.99,,,,,,,,,,,,,,,
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Mary Jane,0.99,,,,,,,,,,,,,,,
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Ironic,0.99,,,,,,,,,,,,,,,
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Not The Doctor,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Not The Doctor,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,Wake Up,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Alanis Morissette,Jagged Little Pill,Rock,Alanis Morissette & Glenn Ballard,You Oughta Know (Alternate),0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,Jerry Cantrell,We Die Young,0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",Man In The Box,0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,Jerry Cantrell,Sea Of Sorrow,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Alice In Chains,Facelift,Rock,Jerry Cantrell,Bleed The Freak,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",I Can't Remember,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley","Love, Hate, Love",0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Michael Starr, Sean Kinney",It Ain't Like That,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Alice In Chains,Facelift,Rock,Jerry Cantrell,Sunshine,0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,Jerry Cantrell,Put You Down,0.99,,,,,,,,,,,,,,,
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Michael Starr, Layne Staley",Confusion,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Alice In Chains,Facelift,Rock,Jerry Cantrell,I Know Somethin (Bout You),0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Alice In Chains,Facelift,Rock,"Jerry Cantrell, Layne Staley",Real Thing,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Desafinado,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Garota De Ipanema,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Samba De Uma Nota Só (One Note Samba),0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Por Causa De Você,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Por Causa De Você,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Ligia,0.99,109,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,53,Phil,Hughes,London,,United Kingdom
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Fotografia,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Dindi (Dindi),0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Se Todos Fossem Iguais A Você (Instrumental),0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Falando De Amor,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Angela,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Corcovado (Quiet Nights Of Quiet Stars),0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,Outra Vez,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,O Boto (Bôto),0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Antônio Carlos Jobim,Warner 25 Anos,Jazz,,"Canta, Canta Mais",0.99,110,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,3,François,Tremblay,Montréal,QC,Canada
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Garota De Ipanema,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tim Tim Por Tim Tim,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tarde Em Itapoã,0.99,222,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,21,Kathy,Chase,Reno,NV,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tarde Em Itapoã,0.99,328,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,15,Jennifer,Peterson,Vancouver,BC,Canada
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tanto Tempo,0.99,12,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,2,Leonie,Köhler,Stuttgart,,Germany
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Tanto Tempo,0.99,329,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,16,Frank,Harris,Mountain View,CA,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Eu Vim Da Bahia - Live,0.99,329,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,16,Frank,Harris,Mountain View,CA,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Alô Alô Marciano,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Linha Do Horizonte,0.99,330,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,18,Michelle,Brooks,New York,NY,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Only A Dream In Rio,0.99,117,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,41,Marc,Dubois,Lyon,,France
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Abrir A Porta,0.99,330,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,18,Michelle,Brooks,New York,NY,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Alice,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Momentos Que Marcam,0.99,331,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,20,Dan,Miller,Mountain View,CA,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Um Jantar Pra Dois,0.99,222,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,21,Kathy,Chase,Reno,NV,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Bumbo Da Mangueira,0.99,12,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,2,Leonie,Köhler,Stuttgart,,Germany
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Bumbo Da Mangueira,0.99,331,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,20,Dan,Miller,Mountain View,CA,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Mr Funk Samba,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Santo Antonio,0.99,331,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,20,Dan,Miller,Mountain View,CA,USA
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Por Você,0.99,,,,,,,,,,,,,,,
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Só Tinha De Ser Com Você,0.99,117,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,41,Marc,Dubois,Lyon,,France
Antônio Carlos Jobim,Chill: Brazil (Disc 2),Latin,Vários,Só Tinha De Ser Com Você,0.99,331,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,20,Dan,Miller,Mountain View,CA,USA
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Enter Sandman,0.99,,,,,,,,,,,,,,,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Master Of Puppets,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Harvester Of Sorrow,0.99,,,,,,,,,,,,,,,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,The Unforgiven,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Sad But True,0.99,,,,,,,,,,,,,,,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Creeping Death,0.99,,,,,,,,,,,,,,,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Wherever I May Roam,0.99,,,,,,,,,,,,,,,
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Welcome Home (Sanitarium),0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Apocalyptica,Plays Metallica By Four Cellos,Metal,Apocalyptica,Welcome Home (Sanitarium),0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Cochise,0.99,110,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,3,François,Tremblay,Montréal,QC,Canada
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Show Me How to Live,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Gasoline,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,What You Are,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Like a Stone,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Set It Off,0.99,4,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,14,Mark,Philips,Edmonton,AB,Canada
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Shadow on the Sun,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,I am the Highway,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Exploder,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Hypnotize,0.99,110,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,3,François,Tremblay,Montréal,QC,Canada
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Bring'em Back Alive,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Light My Way,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,Getaway Car,0.99,,,,,,,,,,,,,,,
Audioslave,Audioslave,Rock,Audioslave/Chris Cornell,The Last Remaining Light,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Your Time Has Come,0.99,5,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,23,John,Gordon,Boston,MA,USA
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Out Of Exile,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Be Yourself,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Doesn't Remind Me,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Drown Me Slowly,0.99,110,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,3,François,Tremblay,Montréal,QC,Canada
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Heaven's Dead,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",The Worm,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Man Or Animal,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Yesterday To Tomorrow,0.99,215,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,42,Wyatt,Girard,Bordeaux,,France
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",Dandelion,0.99,5,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,23,John,Gordon,Boston,MA,USA
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",#1 Zero,0.99,,,,,,,,,,,,,,,
Audioslave,Out Of Exile,Alternative & Punk,"Cornell, Commerford, Morello, Wilk",The Curse,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Revelations,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,One and the Same,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Sound of a Gun,0.99,313,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,43,Isabelle,Mercier,Dijon,,France
Audioslave,Revelations,Alternative,,Until We Fall,0.99,103,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,24,Frank,Ralston,Chicago,IL,USA
Audioslave,Revelations,Alternative,,Original Fire,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Broken City,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Somedays,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Shape of Things to Come,0.99,208,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,4,Bjørn,Hansen,Oslo,,Norway
Audioslave,Revelations,Alternative,,Jewel of the Summertime,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Wide Awake,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Nothing Left to Say But Goodbye,0.99,,,,,,,,,,,,,,,
Audioslave,Revelations,Alternative,,Moth,0.99,313,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,43,Isabelle,Mercier,Dijon,,France
Audioslave,Revelations,Alternative,,Show Me How to Live (Live at the Quart Festival),0.99,103,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,24,Frank,Ralston,Chicago,IL,USA
Audioslave,Revelations,Alternative,,"Band Members Discuss Tracks from ""Revelations""",0.99,,,,,,,,,,,,,,,
BackBeat,BackBeat Soundtrack,Rock And Roll,"Berry Gordy, Jr./Janie Bradford",Money,0.99,320,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,22,Heather,Leacock,Orlando,FL,USA
